Damaged	X
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ghost  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Poison  1×  Bug  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Poison  1×  Bug  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Poison  1×  Ghost  1×  Steel  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
