Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsNeutral Nature	Lv. 100	200 - 294	103 - 197	103 - 197	135 - 229	135 - 229	95 - 189
Max StatsNeutral Nature	Lv. 100	230 - 324	129 - 223	131 - 225	165 - 259	165 - 259	125 - 219
Max StatsNeutral Nature	Lv. 100	270 - 364	169 - 263	171 - 265	205 - 299	205 - 299	165 - 259
Max StatsNeutral Nature	Lv. 100	188 - 282	109 - 203	91 - 185	125 - 219	105 - 199	135 - 229
Max StatsNeutral Nature	Lv. 100	226 - 320	133 - 227	121 - 215	165 - 259	135 - 229	165 - 259
Max StatsNeutral Nature	Lv. 100	266 - 360	173 - 267	161 - 255	223 - 317	175 - 269	205 - 299
Max StatsNeutral Nature	Lv. 100	198 - 292	101 - 195	135 - 229	105 - 199	133 - 227	91 - 185
Max StatsNeutral Nature	Lv. 100	228 - 322	131 - 225	165 - 259	135 - 229	165 - 259	121 - 215
Max StatsNeutral Nature	Lv. 100	268 - 362	171 - 265	205 - 299	175 - 269	215 - 309	161 - 255
Max StatsNeutral Nature	Lv. 100	200 - 294	65 - 159	75 - 169	45 - 139	45 - 139	95 - 189
Max StatsNeutral Nature	Lv. 100	210 - 304	45 - 139	115 - 209	55 - 149	55 - 149	65 - 159
Max StatsNeutral Nature	Lv. 100	230 - 324	95 - 189	105 - 199	185 - 279	165 - 259	145 - 239
Max StatsNeutral Nature	Lv. 100	190 - 284	75 - 169	65 - 159	45 - 139	45 - 139	105 - 199
Max StatsNeutral Nature	Lv. 100	200 - 294	55 - 149	105 - 199	55 - 149	55 - 149	75 - 169
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	85 - 179	95 - 189	165 - 259	155 - 249
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	85 - 179	75 - 169	75 - 169	117 - 211
Max StatsNeutral Nature	Lv. 100	236 - 330	125 - 219	115 - 209	105 - 199	105 - 199	147 - 241
Max StatsNeutral Nature	Lv. 100	276 - 370	165 - 259	155 - 249	145 - 239	145 - 239	207 - 301
Max StatsNeutral Nature	Lv. 100	170 - 264	117 - 211	75 - 169	55 - 149	75 - 169	149 - 243
