,First_pokemon,Second_pokemon,Winner
0,246,274,274
1,640,639,639
2,176,606,606
3,218,621,621
4,139,213,139
6,177,124,124
8,204,692,692
9,278,25,25
10,396,120,120
11,639,562,639
12,11,260,260
13,139,80,139
15,692,402,402
16,131,243,243
17,333,221,221
19,503,518,503
20,394,625,625
21,340,395,395
22,592,609,609
24,548,587,587
25,249,644,249
27,564,696,696
28,128,405,128
29,632,678,632
30,409,490,490
31,166,277,277
32,192,169,169
34,240,348,348
36,559,263,263
37,370,124,370
39,504,223,223
40,519,223,223
41,184,650,184
42,343,125,343
43,69,395,395
44,605,583,583
45,427,364,427
46,3,668,668
47,389,39,389
48,213,134,134
50,410,240,240
52,383,683,383
53,238,708,238
54,328,192,192
55,654,584,584
57,665,611,611
58,130,652,130
59,225,672,225
60,458,201,458
61,571,38,571
62,534,650,534
63,545,34,545
64,335,537,335
65,677,524,677
67,279,182,279
68,154,639,639
69,509,106,106
70,213,157,157
71,65,394,65
72,597,549,549
73,510,497,497
75,405,321,405
76,599,87,87
78,120,294,120
81,519,551,551
82,648,73,73
84,343,31,31
86,313,146,146
87,458,514,514
88,487,477,487
89,437,212,212
90,624,197,197
91,280,353,353
92,462,663,663
93,148,686,148
94,138,245,245
95,390,639,639
96,205,245,245
97,390,542,542
98,223,333,223
99,715,231,715
100,546,271,546
101,393,193,193
102,595,328,595
103,390,34,34
104,300,372,372
105,424,81,424
106,65,706,65
107,41,554,41
108,4,608,4
109,716,289,289
111,444,508,444
112,364,311,311
113,57,273,57
114,483,400,483
115,130,140,130
116,48,106,106
117,345,148,148
118,208,291,291
120,274,29,274
121,324,122,324
123,452,407,452
124,539,537,539
125,399,39,399
126,328,489,489
127,279,123,123
128,45,304,45
129,156,499,156
130,687,119,687
131,5,235,5
132,636,142,142
133,84,442,442
134,348,66,348
135,323,250,250
136,203,43,203
137,667,225,225
138,621,226,226
140,184,528,528
141,367,574,367
142,50,501,501
143,48,110,110
144,567,130,567
145,488,708,488
146,347,488,488
148,141,499,141
149,282,248,282
150,81,349,81
151,48,26,26
152,157,676,676
153,12,101,101
155,256,86,256
156,312,581,581
158,576,629,629
159,665,649,649
160,274,710,274
161,36,104,36
162,89,291,89
163,378,362,362
164,434,364,434
168,481,24,24
171,214,234,234
173,148,710,148
174,446,381,446
175,248,146,146
176,425,532,425
177,491,427,491
178,183,711,711
179,352,663,663
180,439,181,439
181,24,527,24
182,30,445,445
183,461,169,169
184,119,97,119
185,5,543,5
186,127,290,127
187,76,458,458
189,674,51,51
190,204,654,654
191,693,603,693
192,644,393,644
194,18,719,18
195,636,135,135
196,282,573,573
197,145,604,145
198,49,680,680
199,461,393,461
200,698,244,244
202,18,561,18
203,89,230,230
204,299,486,486
205,465,7,465
207,708,319,319
208,607,209,209
209,561,47,561
210,480,649,649
211,392,223,392
212,471,688,471
214,345,140,140
215,429,329,429
216,127,636,127
217,323,670,670
219,267,544,267
220,88,244,244
221,661,127,127
222,119,675,119
223,550,98,550
224,52,500,500
225,596,134,596
226,563,682,563
227,472,21,472
228,717,426,717
229,333,357,357
232,474,383,383
233,64,410,64
234,482,264,482
235,317,355,317
236,627,118,118
237,195,639,639
238,308,352,308
239,533,73,73
240,711,441,441
242,21,662,662
243,413,363,413
245,518,697,697
246,57,75,57
247,237,205,237
249,487,306,487
250,283,486,486
251,197,396,197
252,515,278,278
253,193,583,193
254,84,697,84
255,107,610,107
256,122,63,63
257,508,361,508
258,582,202,582
259,296,150,150
262,45,51,45
263,218,402,402
264,520,614,520
265,712,657,657
266,381,649,381
268,474,146,146
269,106,50,50
270,326,574,326
271,48,479,479
273,697,164,697
274,86,655,655
275,718,391,718
277,281,231,281
279,532,664,664
280,508,385,385
281,266,263,263
282,691,664,691
283,201,92,92
284,606,80,606
286,114,700,700
287,241,142,142
290,97,454,454
291,407,553,553
292,98,42,42
293,653,530,530
295,130,658,658
296,441,220,441
298,340,118,118
299,3,661,3
300,451,83,451
301,647,95,647
303,413,12,12
305,655,2,655
307,230,325,230
310,334,338,334
312,326,694,326
313,182,101,182
314,140,689,689
316,159,584,584
317,392,53,53
318,553,397,553
319,712,117,117
321,505,198,198
322,145,573,573
323,353,16,16
324,372,368,368
325,319,394,319
327,76,509,509
329,158,548,158
330,699,512,512
331,45,425,425
332,406,97,97
333,491,698,491
334,473,671,473
335,416,691,691
336,135,720,720
337,512,39,512
338,509,672,509
339,178,22,22
340,228,399,228
342,389,38,38
343,717,327,717
344,181,687,687
347,405,713,405
348,195,396,396
349,702,522,702
350,367,53,53
351,365,376,376
352,211,617,617
353,682,181,181
354,518,388,388
355,194,34,34
356,32,648,648
357,14,412,412
358,480,673,480
359,640,565,640
360,367,375,367
361,465,126,126
362,417,81,417
363,454,451,454
364,540,582,582
365,413,77,77
366,489,473,473
367,643,469,469
368,10,56,56
369,659,450,659
370,167,227,227
371,672,108,672
373,650,514,514
375,443,31,31
379,481,141,141
380,140,146,146
381,669,14,669
382,167,519,519
383,63,278,63
385,439,183,439
386,621,455,621
387,2,557,2
388,666,235,666
389,64,721,64
390,111,61,61
391,669,549,549
392,62,362,362
393,482,647,482
395,517,52,52
396,680,23,23
397,357,578,357
398,195,668,195
399,414,632,632
401,413,582,582
402,554,590,554
404,228,533,533
406,660,526,526
408,464,671,464
409,394,473,473
411,572,383,383
413,292,270,292
414,415,713,713
415,699,6,6
417,408,421,421
418,222,662,222
419,626,175,626
420,250,16,250
421,669,712,669
422,428,207,428
423,514,260,514
424,559,492,492
426,1,617,617
427,534,121,534
428,387,310,310
429,228,406,228
430,15,645,645
434,407,23,407
435,66,104,104
436,341,80,341
438,619,713,619
439,166,694,166
440,524,448,448
441,526,530,530
442,663,1,663
443,429,472,429
444,665,15,15
445,572,318,572
446,507,684,507
447,323,75,323
449,381,78,381
450,549,199,549
452,113,528,528
453,146,70,146
456,457,269,457
457,692,623,623
458,385,187,385
459,458,183,458
462,285,42,42
463,73,289,289
464,415,187,415
466,638,43,638
468,66,436,66
469,565,289,289
470,200,595,200
472,570,643,643
473,630,304,630
474,8,284,284
475,434,17,434
476,603,155,155
478,33,275,275
479,690,691,691
480,395,1,395
481,388,127,127
482,638,387,638
483,46,346,346
484,145,156,145
485,698,341,698
486,712,628,628
487,359,235,235
491,91,158,91
492,52,233,52
493,209,265,209
494,333,548,333
495,373,479,373
496,585,270,585
497,11,685,685
498,181,703,181
499,245,62,245
500,504,679,679
501,680,229,229
504,408,278,278
505,298,514,514
506,242,61,61
508,267,604,267
510,116,445,445
511,232,99,99
512,63,196,196
513,111,312,111
514,208,158,158
515,633,86,86
517,373,234,373
518,180,546,546
520,117,74,117
521,636,308,308
522,382,642,642
524,373,343,373
525,522,383,383
526,469,248,469
527,280,644,644
528,352,443,443
529,500,64,500
531,62,330,330
532,610,663,663
533,570,10,570
534,579,311,311
535,333,385,385
537,693,476,693
538,362,148,362
539,102,608,608
540,203,669,203
541,372,585,585
542,464,98,98
543,560,667,667
544,196,118,196
545,623,586,586
546,370,381,381
547,450,627,627
549,376,520,376
550,67,255,255
553,343,181,181
554,268,459,459
555,259,171,259
556,351,637,637
557,271,672,672
558,316,713,316
560,39,298,298
561,81,707,707
562,139,219,139
563,703,605,703
564,246,277,277
565,541,342,342
566,25,441,441
567,84,167,84
568,528,356,528
569,428,388,428
570,328,384,384
571,93,16,16
572,247,167,247
574,7,13,13
576,225,162,162
577,193,417,417
578,707,689,707
579,177,652,177
581,495,397,397
582,480,75,480
583,114,388,114
584,536,565,536
585,373,50,373
586,412,277,277
587,59,582,59
588,524,294,294
589,242,194,194
590,107,443,107
591,68,431,431
592,32,278,278
593,680,594,594
594,407,159,407
595,342,458,342
596,714,187,714
598,431,483,483
601,352,144,144
602,304,586,586
603,506,28,28
604,79,451,451
605,198,389,198
606,492,707,492
607,276,323,276
608,392,568,392
609,193,362,193
610,522,604,522
611,46,709,709
612,443,379,379
613,467,521,521
614,8,700,700
616,262,288,288
617,72,571,571
618,389,76,389
619,505,49,49
620,288,683,288
621,228,623,228
622,636,199,636
623,69,507,507
624,405,16,405
625,122,425,122
626,449,199,449
628,102,173,102
629,33,467,467
630,119,279,119
631,282,33,282
633,637,412,637
634,644,410,644
635,94,280,94
636,363,220,220
637,31,9,9
638,448,259,448
639,587,440,587
641,135,174,135
642,98,26,26
644,499,482,482
645,22,38,38
646,255,153,153
648,588,590,588
649,576,359,359
651,199,266,199
652,516,213,516
653,307,306,307
654,72,358,72
655,166,35,166
656,126,487,126
657,192,623,623
658,572,431,431
659,432,628,432
660,242,41,41
661,80,53,53
662,575,633,633
664,634,253,253
665,436,93,93
666,435,599,599
667,652,569,569
668,323,237,237
669,436,544,544
670,21,720,720
671,543,121,121
672,308,479,479
673,274,164,164
675,240,326,240
676,386,427,386
677,487,378,487
678,159,208,159
679,59,158,59
680,716,228,716
681,477,391,391
682,142,588,142
683,565,138,138
685,134,598,598
686,318,96,318
688,541,659,659
690,317,474,474
691,519,340,519
692,2,198,198
693,7,535,535
694,478,691,478
696,281,364,281
697,145,238,145
699,48,539,539
700,383,659,383
701,214,306,214
702,149,105,149
703,53,109,53
704,570,673,673
705,439,644,644
706,165,628,628
708,149,393,149
710,658,203,658
711,643,693,643
713,720,610,610
714,5,41,5
716,641,663,663
717,674,229,229
718,702,408,702
719,262,618,262
720,483,278,483
721,194,624,624
722,452,56,452
725,107,619,107
726,333,618,618
728,414,415,415
729,223,300,223
732,215,605,215
733,249,701,701
734,184,359,359
735,166,320,166
737,603,33,33
738,427,366,427
739,350,653,350
740,365,520,520
741,114,548,114
742,451,114,451
744,505,648,648
746,221,85,85
747,584,420,584
748,81,422,81
751,510,206,510
753,581,36,581
754,500,291,291
756,116,560,116
757,256,169,169
758,543,120,120
759,498,513,513
760,374,204,374
761,122,166,122
763,645,240,645
764,463,537,537
765,516,477,516
767,248,412,248
768,571,104,571
769,335,93,93
770,338,55,55
771,229,310,310
772,236,24,24
773,629,532,629
774,109,319,319
775,200,24,200
777,602,9,9
778,268,46,46
779,111,236,236
780,163,410,163
781,136,313,313
782,631,62,62
783,488,650,488
784,85,669,85
786,317,529,529
787,206,508,508
789,151,499,151
790,44,282,282
791,329,648,648
792,209,458,209
793,2,533,2
794,44,124,124
795,413,102,102
796,605,88,605
797,240,199,199
798,347,632,632
799,446,436,446
800,285,141,141
801,319,601,319
802,464,120,464
805,490,92,490
806,414,628,628
807,103,417,417
808,108,337,337
809,490,48,490
810,429,532,429
812,695,531,695
813,615,13,615
814,231,239,231
815,47,445,445
816,677,445,445
817,427,654,427
818,281,219,281
819,264,472,264
820,681,39,681
821,267,422,267
822,142,300,142
823,576,327,576
825,15,336,15
826,474,187,474
827,119,633,119
828,199,650,650
829,466,109,466
830,117,263,117
831,499,198,198
832,691,79,691
833,497,450,497
834,259,544,259
837,551,662,662
838,354,286,286
839,131,107,107
841,10,149,149
842,510,443,510
843,490,117,490
844,435,196,196
845,472,206,472
846,364,139,139
847,342,235,235
848,669,161,669
849,107,441,441
851,336,454,454
852,260,234,234
854,43,248,248
855,470,162,470
858,519,629,629
861,697,669,697
863,414,239,239
864,509,719,509
865,133,136,136
866,282,266,282
867,521,490,490
868,74,64,74
869,164,465,164
870,135,567,135
871,253,278,253
872,559,250,250
873,607,293,293
875,438,475,475
876,352,147,147
877,43,574,574
878,716,339,716
880,512,322,512
881,382,122,122
882,272,538,272
883,700,298,700
884,352,298,352
885,471,467,467
886,356,678,678
887,636,90,636
888,424,271,424
890,581,558,581
891,404,638,638
892,523,404,523
893,228,6,6
894,553,576,553
895,11,167,167
896,562,62,62
897,258,648,648
898,152,690,152
899,144,130,144
900,160,635,635
901,714,78,78
902,48,198,198
903,44,370,44
904,525,415,525
905,613,313,313
906,336,358,358
907,24,182,24
908,370,367,367
909,565,158,158
910,609,360,609
911,327,595,595
912,108,643,643
914,79,344,79
915,637,408,637
916,394,554,554
917,370,484,484
919,213,193,193
921,107,713,107
923,34,209,34
924,462,541,462
925,567,67,567
926,201,566,566
928,552,174,552
929,536,353,536
930,495,620,620
932,695,360,695
933,444,345,444
935,41,646,646
936,557,405,405
937,96,538,538
938,630,116,630
939,67,631,631
940,39,290,290
941,535,699,535
942,534,358,358
943,94,48,94
944,673,604,673
945,313,371,313
946,392,543,392
947,102,270,102
948,420,312,312
951,383,543,383
953,50,718,718
954,268,227,227
955,532,305,305
956,321,635,635
957,468,169,169
958,453,384,384
959,16,541,16
960,313,560,313
961,208,211,211
962,147,323,147
964,145,253,145
967,130,480,480
969,252,694,694
970,89,639,639
971,542,406,542
972,462,578,462
973,484,554,484
974,57,363,57
976,253,554,554
977,715,448,715
978,526,681,681
981,267,48,267
982,66,377,377
983,478,597,478
985,409,478,478
986,600,349,600
987,416,681,681
988,512,94,94
989,197,214,214
990,531,92,92
991,422,238,238
992,651,224,651
994,144,473,144
995,1,625,625
996,343,277,277
997,603,507,507
998,713,115,115
999,324,390,390
1001,377,663,377
1002,200,180,200
1003,468,638,638
1004,176,107,107
1005,210,513,513
1006,76,673,673
1007,599,334,334
1008,696,11,696
1009,507,201,507
1011,338,25,25
1012,150,422,150
1013,634,516,516
1014,150,122,150
1015,446,294,446
1016,614,553,553
1018,577,502,502
1020,260,376,376
1021,210,26,26
1022,545,328,545
