0	1
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Normal	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Steel	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Fire  2×  Psychic  2×  Ice  2×	
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Flying	2×
Fire	2×
Psychic	2×
Ice	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Fighting	½×
Water	½×
Grass	¼×
Electric	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 4×.	Notes: In Generation I, the effectiveness of Bug-type moves is 4×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 4×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Normal	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Steel	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Fire  2×  Psychic  2×  Ice  2×	
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Flying	2×
Fire	2×
Psychic	2×
Ice	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Fighting	½×
