Damaged	X
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Bug  ¼×  Steel  ½×  Fire  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Grass  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Grass  ½×
Resistant to:	Fighting  ¼×  Bug  ½×  Grass  ¼×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	None
Resistant to:	None
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Poison  ½×  Rock  ½×
Resistant to:	Poison  ½×  Rock  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ¼×  Rock  ½×  Bug  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ¼×  Rock  ½×  Bug  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Dark  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Dark  ½×
Resistant to:	Bug  ½×  Dark  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ¼×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ¼×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Ground  ¼×  Water  ½×  Grass  ¼×  Electric  ½×
Resistant to:	Fighting  ½×  Ground  ¼×  Water  ½×  Grass  ¼×  Electric  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Poison  ½×  Rock  ½×
Resistant to:	Poison  ½×  Rock  ½×
Resistant to:	None
Resistant to:	None
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Rock  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ¼×  Rock  ½×  Fire  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ¼×  Rock  ½×  Fire  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ¼×  Rock  ½×  Fire  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Steel  ½×  Fire  ½×  Water  ½×  Psychic  ½×  Ice  ½×
Resistant to:	Fighting  ½×  Steel  ½×  Fire  ½×  Water  ½×  Psychic  ½×  Ice  ½×
Resistant to:	Normal  ½×  Flying  ¼×  Rock  ½×  Bug  ½×  Steel  ¼×  Grass  ½×  Electric  ½×  Psychic  ½×  Ice  ½×  Dragon  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Flying  ¼×  Rock  ½×  Bug  ½×  Steel  ¼×  Grass  ½×  Electric  ½×  Psychic  ½×  Ice  ½×  Dragon  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Water  ½×  Ice  ¼×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Water  ½×  Ice  ¼×
Resistant to:	Poison  ¼×  Bug  ¼×  Grass  ½×  Fairy  ½×
Resistant to:	Poison  ¼×  Bug  ¼×  Grass  ½×  Fairy  ½×
Resistant to:	Poison  ¼×  Bug  ¼×  Grass  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ¼×  Rock  ½×  Fire  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×  Psychic  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×  Psychic  ½×
Resistant to:	Poison  ½×  Rock  ½×
Resistant to:	Poison  ½×  Rock  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Resistant to:	None
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Grass  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ¼×  Rock  ½×  Fire  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ¼×  Rock  ½×  Fire  ½×
Resistant to:	None
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	None
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Fighting  ½×  Steel  ½×  Fire  ½×  Water  ½×  Psychic  ½×  Ice  ½×
Resistant to:	Fighting  ¼×  Psychic  ½×
Resistant to:	Fighting  ¼×  Bug  ½×  Grass  ¼×
Resistant to:	Psychic  ½×  Ice  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Grass  ½×
Resistant to:	None
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×
Resistant to:	Water  ½×  Ice  ¼×
Resistant to:	None
Resistant to:	None
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	None
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Fire  ¼×  Ice  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Fire  ¼×  Ice  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Fire  ¼×  Ice  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Fire  ¼×  Ice  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Bug  ½×  Fire  ½×
Resistant to:	None
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Fighting  ½×  Flying  ½×  Bug  ½×  Steel  ½×  Grass  ½×
Resistant to:	Fighting  ½×  Bug  ¼×  Steel  ½×  Fire  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Fire  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Fire  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Fire  ½×  Water  ½×  Grass  ¼×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	None
Resistant to:	None
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Bug  ½×  Grass  ½×
Resistant to:	Fighting  ¼×  Bug  ½×  Grass  ¼×
Resistant to:	Fighting  ¼×  Bug  ½×  Grass  ¼×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ¼×  Grass  ¼×  Fairy  ½×
Resistant to:	Flying  ½×  Steel  ¼×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Flying  ½×  Steel  ¼×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Dark  ½×
Resistant to:	Bug  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Dark  ½×
Resistant to:	Fighting  ¼×  Bug  ¼×  Grass  ½×  Dark  ½×
Resistant to:	Fighting  ¼×  Grass  ½×  Psychic  ½×
Resistant to:	Fighting  ¼×  Grass  ½×  Psychic  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Flying  ½×  Steel  ½×  Electric  ½×
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Fire  ½×  Water  ½×  Ice  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Fire  ½×  Water  ½×  Ice  ½×  Dark  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Fire  ½×
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×
Resistant to:	None
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Ground  ½×  Water  ½×  Grass  ½×  Electric  ½×
Resistant to:	Fighting  ¼×  Bug  ½×  Grass  ¼×
Resistant to:	Poison  ½×  Rock  ½×  Steel  ½×  Fire  ½×
Resistant to:	Poison  ½×  Rock  ½×  Steel  ½×  Fire  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Ghost  ½×  Dark  ½×
Resistant to:	Ghost  ½×  Grass  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Steel  ½×  Fire  ½×  Water  ½×  Psychic  ½×  Ice  ½×
Resistant to:	Poison  ½×  Bug  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Fighting  ½×  Psychic  ½×
Resistant to:	Psychic  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Grass  ½×
Resistant to:	Normal  ½×  Bug  ½×  Steel  ½×  Grass  ¼×  Psychic  ½×  Ice  ½×  Dragon  ½×  Fairy  ½×
Resistant to:	None
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×
Resistant to:	Normal  ½×  Flying  ½×  Rock  ¼×  Bug  ½×  Steel  ½×  Psychic  ½×  Dragon  ½×  Fairy  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Bug  ½×  Dark  ½×
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Bug  ½×  Steel  ½×  Grass  ¼×  Psychic  ½×  Ice  ½×  Dragon  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Poison  ½×
Resistant to:	Fighting  ½×  Ground  ½×  Bug  ½×  Grass  ½×  Dark  ½×
Resistant to:	Ghost  ½×  Ice  ½×  Dark  ½×
Resistant to:	None
Resistant to:	None
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Resistant to:	Normal  ½×  Flying  ½×  Poison  ½×  Bug  ½×  Fire  ¼×  Ice  ½×  Fairy  ½×
