Damaged	X
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Weak to:	Ground  2×  Rock  2×  Water  2×
Weak to:	Ground  2×  Rock  2×  Water  2×
Weak to:	Rock  4×  Water  2×  Electric  2×
Weak to:	Grass  2×  Electric  2×
Weak to:	Grass  2×  Electric  2×
Weak to:	Grass  2×  Electric  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×
Weak to:	Flying  2×  Rock  4×  Fire  2×  Electric  2×  Ice  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Weak to:	Rock  2×  Electric  2×  Ice  2×
Weak to:	Rock  2×  Electric  2×  Ice  2×
Weak to:	Rock  2×  Electric  2×  Ice  2×
Weak to:	Fighting  2×
Weak to:	Fighting  2×
Weak to:	Rock  2×  Electric  2×  Ice  2×
Weak to:	Rock  2×  Electric  2×  Ice  2×
Weak to:	Ground  2×  Psychic  2×
Weak to:	Ground  2×  Psychic  2×
Weak to:	Ground  2×
Weak to:	Ground  2×
Weak to:	Water  2×  Grass  2×  Ice  2×
Weak to:	Water  2×  Grass  2×  Ice  2×
Weak to:	Ground  2×  Psychic  2×
Weak to:	Ground  2×  Psychic  2×
Weak to:	Ground  2×  Water  2×  Psychic  2×  Ice  2×
Weak to:	Ground  2×  Psychic  2×
Weak to:	Ground  2×  Psychic  2×
Weak to:	Ground  2×  Water  2×  Psychic  2×  Ice  2×
Weak to:	Poison  2×  Steel  2×
Weak to:	Poison  2×  Steel  2×
Weak to:	Ground  2×  Rock  2×  Water  2×
Weak to:	Ground  2×  Rock  2×  Water  2×
Weak to:	Poison  2×  Steel  2×
Weak to:	Poison  2×  Steel  2×
Weak to:	Rock  2×  Electric  2×  Psychic  2×  Ice  2×
Weak to:	Rock  2×  Electric  2×  Psychic  2×  Ice  2×
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Weak to:	Flying  4×  Poison  2×  Rock  2×  Bug  2×  Fire  4×  Ice  2×
Weak to:	Flying  4×  Poison  2×  Rock  2×  Bug  2×  Fire  4×  Ice  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Weak to:	Water  2×  Grass  2×  Ice  2×
Weak to:	Water  2×  Grass  2×  Ice  2×
Weak to:	Fighting  2×
Weak to:	Fighting  2×
