Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Base Stats - Total: 318	Base Stats - Total: 318	45	49	49	65	65	45
Max StatsHindering Nature	Lv. 100	200 - 294	92 - 177	92 - 177	121 - 206	121 - 206	85 - 170
Max StatsNeutral Nature	Lv. 100	200 - 294	103 - 197	103 - 197	135 - 229	135 - 229	95 - 189
Max StatsBeneficial Nature	Lv. 100	200 - 294	113 - 216	113 - 216	148 - 251	148 - 251	104 - 207
Base Stats - Total: 405	Base Stats - Total: 405	60	62	63	80	80	60
Max StatsHindering Nature	Lv. 100	230 - 324	116 - 200	117 - 202	148 - 233	148 - 233	112 - 197
Max StatsNeutral Nature	Lv. 100	230 - 324	129 - 223	131 - 225	165 - 259	165 - 259	125 - 219
Max StatsBeneficial Nature	Lv. 100	230 - 324	141 - 245	144 - 247	181 - 284	181 - 284	137 - 240
Base Stats - Total: 525	Base Stats - Total: 525	80	82	83	100	100	80
Max StatsHindering Nature	Lv. 100	270 - 364	152 - 236	153 - 238	184 - 269	184 - 269	148 - 233
Max StatsNeutral Nature	Lv. 100	270 - 364	169 - 263	171 - 265	205 - 299	205 - 299	165 - 259
Max StatsBeneficial Nature	Lv. 100	270 - 364	185 - 289	188 - 291	225 - 328	225 - 328	181 - 284
Base Stats - Total: 309	Base Stats - Total: 309	39	52	43	60	50	65
Max StatsHindering Nature	Lv. 100	188 - 282	98 - 182	81 - 166	112 - 197	94 - 179	121 - 206
Max StatsNeutral Nature	Lv. 100	188 - 282	109 - 203	91 - 185	125 - 219	105 - 199	135 - 229
Max StatsBeneficial Nature	Lv. 100	188 - 282	119 - 223	100 - 203	137 - 240	115 - 218	148 - 251
Base Stats - Total: 405	Base Stats - Total: 405	58	64	58	80	65	80
Max StatsHindering Nature	Lv. 100	226 - 320	119 - 204	108 - 193	148 - 233	121 - 206	148 - 233
Max StatsNeutral Nature	Lv. 100	226 - 320	133 - 227	121 - 215	165 - 259	135 - 229	165 - 259
Max StatsBeneficial Nature	Lv. 100	226 - 320	146 - 249	133 - 236	181 - 284	148 - 251	181 - 284
Base Stats - Total: 534	Base Stats - Total: 534	78	84	78	109	85	100
Max StatsHindering Nature	Lv. 100	266 - 360	155 - 240	144 - 229	200 - 285	157 - 242	184 - 269
Max StatsNeutral Nature	Lv. 100	266 - 360	173 - 267	161 - 255	223 - 317	175 - 269	205 - 299
Max StatsBeneficial Nature	Lv. 100	266 - 360	190 - 293	177 - 280	245 - 348	192 - 295	225 - 328
Base Stats - Total: 314	Base Stats - Total: 314	44	48	65	50	64	43
Max StatsHindering Nature	Lv. 100	198 - 292	90 - 175	121 - 206	94 - 179	119 - 204	81 - 166
Max StatsNeutral Nature	Lv. 100	198 - 292	101 - 195	135 - 229	105 - 199	133 - 227	91 - 185
Max StatsBeneficial Nature	Lv. 100	198 - 292	111 - 214	148 - 251	115 - 218	146 - 249	100 - 203
Base Stats - Total: 405	Base Stats - Total: 405	59	63	80	65	80	58
Max StatsHindering Nature	Lv. 100	228 - 322	117 - 202	148 - 233	121 - 206	148 - 233	108 - 193
Max StatsNeutral Nature	Lv. 100	228 - 322	131 - 225	165 - 259	135 - 229	165 - 259	121 - 215
Max StatsBeneficial Nature	Lv. 100	228 - 322	144 - 247	181 - 284	148 - 251	181 - 284	133 - 236
Base Stats - Total: 530	Base Stats - Total: 530	79	83	100	85	105	78
Max StatsHindering Nature	Lv. 100	268 - 362	153 - 238	184 - 269	157 - 242	193 - 278	144 - 229
Max StatsNeutral Nature	Lv. 100	268 - 362	171 - 265	205 - 299	175 - 269	215 - 309	161 - 255
Max StatsBeneficial Nature	Lv. 100	268 - 362	188 - 291	225 - 328	192 - 295	236 - 339	177 - 280
Base Stats - Total: 195	Base Stats - Total: 195	45	30	35	20	20	45
Max StatsHindering Nature	Lv. 100	200 - 294	58 - 143	67 - 152	40 - 125	40 - 125	85 - 170
Max StatsNeutral Nature	Lv. 100	200 - 294	65 - 159	75 - 169	45 - 139	45 - 139	95 - 189
Max StatsBeneficial Nature	Lv. 100	200 - 294	71 - 174	82 - 185	49 - 152	49 - 152	104 - 207
Base Stats - Total: 205	Base Stats - Total: 205	50	20	55	25	25	30
Max StatsHindering Nature	Lv. 100	210 - 304	40 - 125	103 - 188	49 - 134	49 - 134	58 - 143
Max StatsNeutral Nature	Lv. 100	210 - 304	45 - 139	115 - 209	55 - 149	55 - 149	65 - 159
Max StatsBeneficial Nature	Lv. 100	210 - 304	49 - 152	126 - 229	60 - 163	60 - 163	71 - 174
Base Stats - Total: 395	Base Stats - Total: 395	60	45	50	90	80	70
Max StatsHindering Nature	Lv. 100	230 - 324	85 - 170	94 - 179	166 - 251	148 - 233	130 - 215
Max StatsNeutral Nature	Lv. 100	230 - 324	95 - 189	105 - 199	185 - 279	165 - 259	145 - 239
Max StatsBeneficial Nature	Lv. 100	230 - 324	104 - 207	115 - 218	203 - 306	181 - 284	159 - 262
Base Stats - Total: 195	Base Stats - Total: 195	40	35	30	20	20	50
Max StatsHindering Nature	Lv. 100	190 - 284	67 - 152	58 - 143	40 - 125	40 - 125	94 - 179
Max StatsNeutral Nature	Lv. 100	190 - 284	75 - 169	65 - 159	45 - 139	45 - 139	105 - 199
Max StatsBeneficial Nature	Lv. 100	190 - 284	82 - 185	71 - 174	49 - 152	49 - 152	115 - 218
Base Stats - Total: 205	Base Stats - Total: 205	45	25	50	25	25	35
Max StatsHindering Nature	Lv. 100	200 - 294	49 - 134	94 - 179	49 - 134	49 - 134	67 - 152
Max StatsNeutral Nature	Lv. 100	200 - 294	55 - 149	105 - 199	55 - 149	55 - 149	75 - 169
Max StatsBeneficial Nature	Lv. 100	200 - 294	60 - 163	115 - 218	60 - 163	60 - 163	82 - 185
Base Stats - Total: 395	Base Stats - Total: 395	65	90	40	45	80	75
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	76 - 161	85 - 170	148 - 233	139 - 224
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	85 - 179	95 - 189	165 - 259	155 - 249
Max StatsBeneficial Nature	Lv. 100	240 - 334	203 - 306	93 - 196	104 - 207	181 - 284	170 - 273
Base Stats - Total: 251	Base Stats - Total: 251	40	45	40	35	35	56
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	76 - 161	67 - 152	67 - 152	105 - 189
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	85 - 179	75 - 169	75 - 169	117 - 211
