Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsHindering Nature	Lv. 100	200 - 294	92 - 177	92 - 177	121 - 206	121 - 206	85 - 170
Max StatsHindering Nature	Lv. 100	230 - 324	116 - 200	117 - 202	148 - 233	148 - 233	112 - 197
Max StatsHindering Nature	Lv. 100	270 - 364	152 - 236	153 - 238	184 - 269	184 - 269	148 - 233
Max StatsHindering Nature	Lv. 100	188 - 282	98 - 182	81 - 166	112 - 197	94 - 179	121 - 206
Max StatsHindering Nature	Lv. 100	226 - 320	119 - 204	108 - 193	148 - 233	121 - 206	148 - 233
Max StatsHindering Nature	Lv. 100	266 - 360	155 - 240	144 - 229	200 - 285	157 - 242	184 - 269
Max StatsHindering Nature	Lv. 100	198 - 292	90 - 175	121 - 206	94 - 179	119 - 204	81 - 166
Max StatsHindering Nature	Lv. 100	228 - 322	117 - 202	148 - 233	121 - 206	148 - 233	108 - 193
Max StatsHindering Nature	Lv. 100	268 - 362	153 - 238	184 - 269	157 - 242	193 - 278	144 - 229
Max StatsHindering Nature	Lv. 100	200 - 294	58 - 143	67 - 152	40 - 125	40 - 125	85 - 170
Max StatsHindering Nature	Lv. 100	210 - 304	40 - 125	103 - 188	49 - 134	49 - 134	58 - 143
Max StatsHindering Nature	Lv. 100	230 - 324	85 - 170	94 - 179	166 - 251	148 - 233	130 - 215
Max StatsHindering Nature	Lv. 100	190 - 284	67 - 152	58 - 143	40 - 125	40 - 125	94 - 179
Max StatsHindering Nature	Lv. 100	200 - 294	49 - 134	94 - 179	49 - 134	49 - 134	67 - 152
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	76 - 161	85 - 170	148 - 233	139 - 224
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	76 - 161	67 - 152	67 - 152	105 - 189
Max StatsHindering Nature	Lv. 100	236 - 330	112 - 197	103 - 188	94 - 179	94 - 179	132 - 216
Max StatsHindering Nature	Lv. 100	276 - 370	148 - 233	139 - 224	130 - 215	130 - 215	186 - 270
Max StatsHindering Nature	Lv. 100	170 - 264	105 - 189	67 - 152	49 - 134	67 - 152	134 - 218
Max StatsHindering Nature	Lv. 100	220 - 314	150 - 234	112 - 197	94 - 179	130 - 215	179 - 263
Max StatsHindering Nature	Lv. 100	190 - 284	112 - 197	58 - 143	60 - 144	60 - 144	130 - 215
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	121 - 206	114 - 198	114 - 198	184 - 269
Max StatsHindering Nature	Lv. 100	180 - 274	112 - 197	83 - 168	76 - 161	101 - 186	103 - 188
Max StatsHindering Nature	Lv. 100	230 - 324	175 - 260	128 - 213	121 - 206	146 - 231	148 - 233
Max StatsHindering Nature	Lv. 100	180 - 274	103 - 188	76 - 161	94 - 179	94 - 179	166 - 251
Max StatsHindering Nature	Lv. 100	230 - 324	166 - 251	103 - 188	166 - 251	148 - 233	202 - 287
Max StatsHindering Nature	Lv. 100	210 - 304	139 - 224	157 - 242	40 - 125	58 - 143	76 - 161
Max StatsHindering Nature	Lv. 100	260 - 354	184 - 269	202 - 287	85 - 170	103 - 188	121 - 206
Max StatsHindering Nature	Lv. 100	220 - 314	89 - 173	98 - 182	76 - 161	76 - 161	78 - 162
Max StatsHindering Nature	Lv. 100	250 - 344	116 - 200	125 - 209	103 - 188	103 - 188	105 - 189
Max StatsHindering Nature	Lv. 100	290 - 384	170 - 254	161 - 245	139 - 224	157 - 242	141 - 225
Max StatsHindering Nature	Lv. 100	202 - 296	107 - 191	76 - 161	76 - 161	76 - 161	94 - 179
Max StatsHindering Nature	Lv. 100	232 - 326	134 - 218	107 - 191	103 - 188	103 - 188	121 - 206
Max StatsHindering Nature	Lv. 100	272 - 366	188 - 272	143 - 227	157 - 242	139 - 224	157 - 242
Max StatsHindering Nature	Lv. 100	250 - 344	85 - 170	90 - 175	112 - 197	121 - 206	67 - 152
Max StatsHindering Nature	Lv. 100	300 - 394	130 - 215	135 - 220	175 - 260	166 - 251	112 - 197
Max StatsHindering Nature	Lv. 100	186 - 280	78 - 162	76 - 161	94 - 179	121 - 206	121 - 206
Max StatsHindering Nature	Lv. 100	256 - 350	141 - 225	139 - 224	150 - 234	184 - 269	184 - 269
Max StatsHindering Nature	Lv. 100	340 - 434	85 - 170	40 - 125	85 - 170	49 - 134	40 - 125
Max StatsHindering Nature	Lv. 100	390 - 484	130 - 215	85 - 170	157 - 242	94 - 179	85 - 170
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	67 - 152	58 - 143	76 - 161	103 - 188
Max StatsHindering Nature	Lv. 100	260 - 354	148 - 233	130 - 215	121 - 206	139 - 224	166 - 251
Max StatsHindering Nature	Lv. 100	200 - 294	94 - 179	103 - 188	139 - 224	121 - 206	58 - 143
Max StatsHindering Nature	Lv. 100	230 - 324	121 - 206	130 - 215	157 - 242	139 - 224	76 - 161
Max StatsHindering Nature	Lv. 100	260 - 354	148 - 233	157 - 242	202 - 287	166 - 251	94 - 179
Max StatsHindering Nature	Lv. 100	180 - 274	130 - 215	103 - 188	85 - 170	103 - 188	49 - 134
Max StatsHindering Nature	Lv. 100	230 - 324	175 - 260	148 - 233	112 - 197	148 - 233	58 - 143
Max StatsHindering Nature	Lv. 100	230 - 324	103 - 188	94 - 179	76 - 161	103 - 188	85 - 170
Max StatsHindering Nature	Lv. 100	250 - 344	121 - 206	112 - 197	166 - 251	139 - 224	166 - 251
Max StatsHindering Nature	Lv. 100	130 - 224	103 - 188	49 - 134	67 - 152	85 - 170	175 - 260
Max StatsHindering Nature	Lv. 100	180 - 274	184 - 269	94 - 179	94 - 179	130 - 215	220 - 305
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	67 - 152	76 - 161	76 - 161	166 - 251
Max StatsHindering Nature	Lv. 100	240 - 334	130 - 215	112 - 197	121 - 206	121 - 206	211 - 296
Max StatsHindering Nature	Lv. 100	210 - 304	98 - 182	90 - 175	121 - 206	94 - 179	103 - 188
Max StatsHindering Nature	Lv. 100	270 - 364	152 - 236	144 - 229	175 - 260	148 - 233	157 - 242
Max StatsHindering Nature	Lv. 100	190 - 284	148 - 233	67 - 152	67 - 152	85 - 170	130 - 215
Max StatsHindering Nature	Lv. 100	240 - 334	193 - 278	112 - 197	112 - 197	130 - 215	175 - 260
Max StatsHindering Nature	Lv. 100	220 - 314	130 - 215	85 - 170	130 - 215	94 - 179	112 - 197
Max StatsHindering Nature	Lv. 100	290 - 384	202 - 287	148 - 233	184 - 269	148 - 233	175 - 260
Max StatsHindering Nature	Lv. 100	190 - 284	94 - 179	76 - 161	76 - 161	76 - 161	166 - 251
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	121 - 206	94 - 179	94 - 179	166 - 251
Max StatsHindering Nature	Lv. 100	290 - 384	175 - 260	175 - 260	130 - 215	166 - 251	130 - 215
Max StatsHindering Nature	Lv. 100	160 - 254	40 - 125	31 - 116	193 - 278	103 - 188	166 - 251
Max StatsHindering Nature	Lv. 100	190 - 284	67 - 152	58 - 143	220 - 305	130 - 215	193 - 278
Max StatsHindering Nature	Lv. 100	220 - 314	94 - 179	85 - 170	247 - 332	175 - 260	220 - 305
Max StatsHindering Nature	Lv. 100	250 - 344	148 - 233	94 - 179	67 - 152	67 - 152	67 - 152
Max StatsHindering Nature	Lv. 100	270 - 364	184 - 269	130 - 215	94 - 179	112 - 197	85 - 170
Max StatsHindering Nature	Lv. 100	290 - 384	238 - 323	148 - 233	121 - 206	157 - 242	103 - 188
Max StatsHindering Nature	Lv. 100	210 - 304	139 - 224	67 - 152	130 - 215	58 - 143	76 - 161
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	94 - 179	157 - 242	85 - 170	103 - 188
Max StatsHindering Nature	Lv. 100	270 - 364	193 - 278	121 - 206	184 - 269	130 - 215	130 - 215
Max StatsHindering Nature	Lv. 100	190 - 284	76 - 161	67 - 152	94 - 179	184 - 269	130 - 215
Max StatsHindering Nature	Lv. 100	270 - 364	130 - 215	121 - 206	148 - 233	220 - 305	184 - 269
Max StatsHindering Nature	Lv. 100	190 - 284	148 - 233	184 - 269	58 - 143	58 - 143	40 - 125
Max StatsHindering Nature	Lv. 100	220 - 314	175 - 260	211 - 296	85 - 170	85 - 170	67 - 152
