,First_pokemon,Second_pokemon,Winner
0,Larvitar,Nuzleaf,Nuzleaf
1,Virizion,Terrakion,Terrakion
2,Togetic,Beheeyem,Beheeyem
3,Slugma,Druddigon,Druddigon
4,Omastar,Shuckle,Omastar
5,Natu,Jynx,Jynx
6,Pineco,Clauncher,Clauncher
7,Wingull,Pikachu,Pikachu
8,Starly,Staryu,Staryu
9,Terrakion,Yamask,Terrakion
10,Metapod,Swampert,Swampert
11,Omastar,Slowbro,Omastar
12,Clauncher,Kricketune,Kricketune
13,Lapras,Raikou,Raikou
14,Swablu,Piloswine,Piloswine
15,Samurott,Musharna,Samurott
16,Prinplup,Bisharp,Bisharp
17,Whiscash,Empoleon,Empoleon
18,Frillish,Chandelure,Chandelure
19,Petilil,Emolga,Emolga
20,Lugia,Zekrom,Lugia
21,Tirtouga,Tyrunt,Tyrunt
22,Tauros,Luxray,Tauros
23,Durant,Meowstic,Durant
24,Rampardos,Manaphy,Manaphy
25,Ledian,Swellow,Swellow
26,Sunflora,Crobat,Crobat
27,Magby,Armaldo,Armaldo
28,Scraggy,Zigzagoon,Zigzagoon
29,Luvdisc,Jynx,Luvdisc
30,Patrat,Remoraid,Remoraid
31,Pidove,Remoraid,Remoraid
32,Azumarill,Chespin,Azumarill
33,Baltoy,Electabuzz,Baltoy
34,Bellsprout,Empoleon,Empoleon
35,Elgyem,Vanillish,Vanillish
36,Buneary,Sealeo,Buneary
37,Venusaur,Pyroar,Pyroar
38,Torterra,Jigglypuff,Torterra
39,Shuckle,Vaporeon,Vaporeon
40,Shieldon,Magby,Magby
41,Groudon,Aromatisse,Groudon
42,Smoochum,Phantump,Smoochum
43,Trapinch,Sunflora,Sunflora
44,Braixen,Vanilluxe,Vanilluxe
45,Spewpa,Fraxure,Fraxure
46,Gyarados,Chesnaught,Gyarados
47,Delibird,Skiddo,Delibird
48,Mantyke,Unown,Mantyke
49,Zoroark,Ninetales,Zoroark
50,Conkeldurr,Chespin,Conkeldurr
51,Scolipede,Nidoking,Scolipede
52,Zangoose,Seismitoad,Zangoose
53,Espurr,Roggenrola,Espurr
54,Pelipper,Bellossom,Pelipper
55,Meganium,Terrakion,Terrakion
56,Purrloin,Hitmonlee,Hitmonlee
57,Shuckle,Typhlosion,Typhlosion
58,Alakazam,Prinplup,Alakazam
59,Ferroseed,Lilligant,Lilligant
60,Liepard,Serperior,Serperior
61,Luxray,Wailord,Luxray
62,Klink,Dewgong,Dewgong
63,Staryu,Loudred,Staryu
64,Pidove,Sandile,Sandile
65,Meloetta,Tentacruel,Tentacruel
66,Baltoy,Nidoqueen,Nidoqueen
67,Volbeat,Moltres,Moltres
68,Mantyke,Simisear,Simisear
69,Giratina,Dusknoir,Giratina
70,Bronzong,Scizor,Scizor
71,Pawniard,Umbreon,Umbreon
72,Ralts,Shuppet,Shuppet
73,Magnezone,Talonflame,Talonflame
74,Dragonair,Inkay,Dragonair
75,Omanyte,Suicune,Suicune
76,Chimchar,Terrakion,Terrakion
77,Forretress,Suicune,Suicune
78,Chimchar,Leavanny,Leavanny
79,Remoraid,Swablu,Remoraid
80,Noivern,Phanpy,Noivern
81,Cottonee,Lombre,Cottonee
82,Piplup,Yanma,Yanma
83,Joltik,Trapinch,Joltik
84,Chimchar,Nidoking,Nidoking
85,Skitty,Shelgon,Shelgon
86,Ambipom,Magnemite,Ambipom
87,Alakazam,Goodra,Alakazam
88,Zubat,Darumaka,Zubat
89,Charmander,Lampent,Charmander
90,Xerneas,Slaking,Slaking
91,Gabite,Stoutland,Gabite
92,Sealeo,Plusle,Plusle
93,Primeape,Seedot,Primeape
94,Dialga,Bibarel,Dialga
95,Gyarados,Kabuto,Gyarados
96,Venonat,Hitmonlee,Hitmonlee
97,Lileep,Dragonair,Dragonair
98,Steelix,Ninjask,Ninjask
99,Nuzleaf,NidoranF,Nuzleaf
100,Torkoal,Mr. Mime,Torkoal
101,Drapion,Roserade,Drapion
102,Sawk,Seismitoad,Sawk
103,Bidoof,Jigglypuff,Bidoof
104,Trapinch,Phione,Phione
105,Pelipper,Scyther,Scyther
106,Vileplume,Aron,Vileplume
107,Quilava,Pignite,Quilava
108,Malamar,Seaking,Malamar
109,Charmeleon,Smeargle,Charmeleon
110,Larvesta,Aerodactyl,Aerodactyl
111,Doduo,Spiritomb,Spiritomb
112,Armaldo,Machop,Armaldo
113,Camerupt,Ho-oh,Ho-oh
114,Girafarig,Oddish,Girafarig
115,Litleo,Delibird,Delibird
116,Druddigon,Mantine,Mantine
117,Azumarill,Swoobat,Swoobat
118,Huntail,Gothita,Huntail
119,Diglett,Oshawott,Oshawott
120,Venonat,Weezing,Weezing
121,Archeops,Gyarados,Archeops
122,Cresselia,Phantump,Cresselia
123,Anorith,Cresselia,Cresselia
124,Kabutops,Pignite,Kabutops
125,Gardevoir,Tyranitar,Gardevoir
126,Magnemite,Feebas,Magnemite
127,Venonat,Raichu,Raichu
128,Typhlosion,Furfrou,Furfrou
129,Butterfree,Electrode,Electrode
130,Combusken,Seel,Combusken
131,Minun,Swanna,Swanna
132,Gothitelle,Vullaby,Vullaby
133,Spewpa,Genesect,Genesect
134,Nuzleaf,Pumpkaboo,Nuzleaf
135,Clefable,Cubone,Clefable
136,Muk,Ninjask,Muk
137,Regice,Glalie,Glalie
138,Stunky,Sealeo,Stunky
139,Mesprit,Arbok,Arbok
140,Heracross,Stantler,Stantler
141,Dragonair,Pumpkaboo,Dragonair
142,Munchlax,Latios,Munchlax
143,Tyranitar,Moltres,Moltres
144,Drifloon,Timburr,Drifloon
145,Darkrai,Buneary,Darkrai
146,Marill,Gourgeist,Gourgeist
147,Kecleon,Talonflame,Talonflame
148,Mime Jr.,Ampharos,Mime Jr.
149,Arbok,Woobat,Arbok
150,Nidorina,Garchomp,Garchomp
151,Weavile,Crobat,Crobat
152,Seaking,Hypno,Seaking
153,Charmeleon,Venipede,Charmeleon
154,Pinsir,Nincada,Pinsir
155,Golem,Mantyke,Mantyke
156,Pancham,Dugtrio,Dugtrio
157,Pineco,Braixen,Braixen
158,Clawitzer,Eelektrik,Clawitzer
159,Zekrom,Piplup,Zekrom
160,Pidgeot,Diancie,Pidgeot
161,Larvesta,Jolteon,Jolteon
162,Gardevoir,Cinccino,Cinccino
163,Zapdos,Eelektross,Zapdos
164,Venomoth,Doublade,Doublade
165,Weavile,Piplup,Weavile
166,Amaura,Entei,Entei
167,Pidgeot,Sigilyph,Pidgeot
168,Muk,Kingdra,Kingdra
169,Nosepass,Regigigas,Regigigas
170,Tangrowth,Squirtle,Tangrowth
171,Phantump,Sharpedo,Sharpedo
172,Litwick,Snubbull,Snubbull
173,Sigilyph,Parasect,Sigilyph
174,Uxie,Genesect,Genesect
175,Infernape,Remoraid,Infernape
176,Glaceon,Binacle,Glaceon
177,Lileep,Kabuto,Kabuto
178,Mismagius,Vibrava,Mismagius
179,Pinsir,Larvesta,Pinsir
180,Camerupt,Floette,Floette
181,Beautifly,Whirlipede,Beautifly
182,Grimer,Entei,Entei
183,Fletchling,Pinsir,Pinsir
184,Seaking,Pangoro,Seaking
185,Basculin,Krabby,Basculin
186,Meowth,Emboar,Emboar
187,Galvantula,Vaporeon,Galvantula
188,Cofagrigus,Spritzee,Cofagrigus
189,Gliscor,Spearow,Gliscor
190,Yveltal,Drifblim,Yveltal
191,Swablu,Tropius,Tropius
192,Porygon-Z,Groudon,Groudon
193,Kadabra,Shieldon,Kadabra
194,Azelf,Linoone,Azelf
195,Swalot,Duskull,Swalot
196,Rufflet,Goldeen,Goldeen
197,Quagsire,Terrakion,Terrakion
198,Medicham,Kecleon,Medicham
199,Gurdurr,Tentacruel,Tentacruel
200,Gourgeist,Chatot,Chatot
201,Spearow,Fletchinder,Fletchinder
202,Wormadam,Spheal,Wormadam
203,Musharna,Tyrantrum,Tyrantrum
204,Primeape,Graveler,Primeape
205,Hitmontop,Forretress,Hitmontop
206,Giratina,Aggron,Giratina
207,Surskit,Regigigas,Regigigas
208,Umbreon,Starly,Umbreon
209,Panpour,Wingull,Wingull
210,Yanma,Vanillish,Yanma
211,Doduo,Tyrantrum,Doduo
212,Hitmonchan,Axew,Hitmonchan
213,Mr. Mime,Abra,Abra
214,Stoutland,Snorunt,Stoutland
215,Vanillite,Wobbuffet,Vanillite
216,Makuhita,Mewtwo,Mewtwo
217,Vileplume,Dugtrio,Vileplume
218,Slugma,Kricketune,Kricketune
219,Tranquill,Beartic,Tranquill
220,Bergmite,Frogadier,Frogadier
221,Latios,Genesect,Latios
222,Porygon-Z,Moltres,Moltres
223,Hitmonlee,Diglett,Diglett
224,Grumpig,Gothita,Grumpig
225,Venonat,Rotom,Rotom
226,Tyrantrum,Noctowl,Tyrantrum
227,Seel,Delphox,Delphox
228,Zygarde,Monferno,Zygarde
229,Kirlia,Phanpy,Kirlia
230,Timburr,Scatterbug,Scatterbug
231,Stoutland,Jirachi,Jirachi
232,Silcoon,Zigzagoon,Zigzagoon
233,Dragalge,Scatterbug,Dragalge
234,Unown,Gastly,Gastly
235,Beheeyem,Slowbro,Beheeyem
236,Tangela,Sylveon,Sylveon
237,Miltank,Aerodactyl,Aerodactyl
238,Hypno,Toxicroak,Toxicroak
239,Roserade,Krookodile,Krookodile
240,Krabby,Golbat,Golbat
241,Fennekin,Excadrill,Excadrill
242,Gyarados,Greninja,Greninja
243,Chatot,Swinub,Chatot
244,Whiscash,Goldeen,Goldeen
